name,W,R,RA
Arizona Diamondbacks,84,761,713
Atlanta Braves,104,716,662
Baltimore Orioles,101,678,629
Boston Red Sox,78,776,718
Chicago Cubs,83,723,651
Chicago White Sox,61,841,774
Cincinnati Reds,82,821,772
Cleveland Guardians,76,697,635
Colorado Rockies,59,957,891
Detroit Tigers,78,740,680
Houston Astros,90,698,632
Kansas City Royals,56,859,809
Los Angeles Angels of Anaheim,73,829,738
Los Angeles Dodgers,100,699,652
Miami Marlins,84,723,672
Milwaukee Brewers,92,647,595
Minnesota Twins,87,659,624
New York Mets,75,729,676
New York Yankees,82,698,635
Oakland Athletics,50,924,865
Philadelphia Phillies,90,715,646
Pittsburgh Pirates,76,790,731
San Diego Padres,82,648,598
San Francisco Giants,79,719,641
Seattle Mariners,88,659,602
St. Louis Cardinals,71,829,760
Tampa Bay Rays,99,665,618
Texas Rangers,90,716,683
Toronto Blue Jays,89,671,610
Washington Nationals,71,845,797
